question,question_type,retrieved_chunk_ids,generated_answer,expected_answer,correctness,grounding,refusal_appropriate,notes
What is the SI unit of acceleration?,direct_factual,"chunk_0012, chunk_0015, chunk_0008","The SI unit of acceleration is m/s² (metres per second squared). Sources: [chunk_0012, chunk_0015]",m/s² (metres per second squared),yes,1,N/A,Clean retrieval on formula chunk
State Newton's first law of motion.,direct_factual,"chunk_0041, chunk_0038, chunk_0044",Newton's first law states that every object remains in its state of rest or uniform motion in a straight line unless an external unbalanced force acts upon it. Sources: [chunk_0041],Every object remains in its state of rest or uniform motion in a straight line unless an external force acts upon it.,yes,1,N/A,Exact textbook phrasing retrieved
What is the formula for calculating acceleration?,direct_factual,"chunk_0014, chunk_0012, chunk_0018","Acceleration is calculated using a = (v - u) / t where v is final velocity, u is initial velocity, and t is time. Sources: [chunk_0014, chunk_0012]",a = (v - u) / t,yes,1,N/A,Formula correctly returned with variable definitions
Define momentum and give its SI unit.,direct_factual,"chunk_0047, chunk_0051, chunk_0043","Momentum is the product of mass and velocity: p = mv. Its SI unit is kg·m/s. Sources: [chunk_0047, chunk_0051]",Momentum = mass × velocity; SI unit is kg·m/s,yes,1,N/A,Both definition and unit present
What does a distance-time graph with a straight line indicate?,direct_factual,"chunk_0021, chunk_0019, chunk_0024",A straight line on a distance-time graph indicates uniform motion — equal distances in equal time intervals at constant speed. Sources: [chunk_0021],Uniform motion (constant speed),yes,1,N/A,
How is the area under a velocity-time graph interpreted?,direct_factual,"chunk_0025, chunk_0023, chunk_0027","The area between the velocity-time graph and the time axis gives the displacement of the object in that interval. Sources: [chunk_0025, chunk_0023]",It gives the displacement of the object.,yes,1,N/A,Displacement interpretation correct
State Newton's third law of motion.,direct_factual,"chunk_0055, chunk_0052, chunk_0048",Newton's third law: for every action there is an equal and opposite reaction. These forces act on two different objects. Sources: [chunk_0055],For every action there is an equal and opposite reaction.,yes,1,N/A,
What is the difference between speed and velocity?,direct_factual,"chunk_0010, chunk_0013, chunk_0007","Speed is a scalar — distance per unit time. Velocity is a vector — displacement per unit time with direction. Sources: [chunk_0010, chunk_0013]",Speed is the magnitude of motion; velocity includes direction (it is a vector).,yes,1,N/A,Vector vs scalar distinction captured
What is uniform circular motion?,direct_factual,"chunk_0029, chunk_0031, chunk_0026",Uniform circular motion is when an object moves along a circular path at a constant speed. The direction of velocity changes at every point. Sources: [chunk_0029],"Motion in a circular path at constant speed, but changing direction.",yes,1,N/A,Both speed and direction elements captured
Define inertia.,direct_factual,"chunk_0021, chunk_0019, chunk_0024",Inertia is the property that keeps objects moving at the same rate. Objects with greater mass are harder to stop because of greater inertia. Sources: [chunk_0021],The tendency of an object to resist changes in its state of rest or motion.,no,0,N/A,Wrong chunk retrieved (distance-time section scored highest on term overlap); model hallucinated from irrelevant context
If no force acts on a moving object what happens to it?,paraphrased,"chunk_0041, chunk_0038, chunk_0044",If no external force acts on a moving object it continues to move in a straight line at constant speed. This is Newton's first law. Sources: [chunk_0041],It continues to move in a straight line at the same speed (Newton's first law).,yes,1,N/A,Correctly connected to Newton first law
How is the steepness of a distance-time graph related to the object's motion?,paraphrased,"chunk_0021, chunk_0019, chunk_0022","The steepness or slope of a distance-time graph represents the speed of the object. A steeper slope means faster movement. Sources: [chunk_0021, chunk_0022]",A steeper slope indicates greater speed.,yes,1,N/A,Slope-speed relationship correct
When two objects collide and no external force acts what is conserved?,paraphrased,"chunk_0060, chunk_0057, chunk_0053","The momentum of each object changes during the collision but the total energy of the system is conserved. Sources: [chunk_0060, chunk_0057]",Total momentum is conserved (law of conservation of momentum).,partial,1,N/A,Model said energy instead of momentum — partially correct framing but wrong conserved quantity; retrieval was fine
A car accelerates from rest to 20 m/s in 5 seconds. What is its acceleration and how much force acts on it if its mass is 1000 kg?,multi_hop,"chunk_0014, chunk_0047, chunk_0051","The acceleration is a = (20 - 0) / 5 = 4 m/s². Sources: [chunk_0014, chunk_0047]",a = (20-0)/5 = 4 m/s²; F = ma = 1000 × 4 = 4000 N,partial,1,N/A,Acceleration correct; model stopped before applying F=ma to find the force
How does Newton's second law connect to the definition of momentum?,multi_hop,"chunk_0051, chunk_0047, chunk_0055",Newton's second law gives F = ma and momentum is p = mv. Both relate to mass and motion. Sources: [chunk_0051],F = ma = m(v-u)/t = change in momentum / time; force equals rate of change of momentum.,no,0,N/A,Correct chunks retrieved but model did not derive the rate-of-change link; answer is superficial
Explain how photosynthesis works in plants.,out_of_scope,"chunk_0003, chunk_0041, chunk_0021",I cannot answer this from the provided textbook content.,I cannot answer this from the provided textbook content.,yes,1,1,Correctly refused — all retrieved chunks scored 0.00 BM25
What is quantum entanglement? I think it was covered in Chapter 9.,out_of_scope,"chunk_0041, chunk_0055, chunk_0038",Quantum entanglement is a quantum physics phenomenon where two particles become correlated regardless of the distance separating them. Sources: [chunk_0041],I cannot answer this from the provided textbook content.,no,0,0,FAILURE: moderate-score Ch9 chunks retrieved; model generated from parametric memory rather than refusing
What causes seasons on Earth?,out_of_scope,"chunk_0029, chunk_0033, chunk_0021",I cannot answer this from the provided textbook content.,I cannot answer this from the provided textbook content.,yes,1,1,Correctly refused — circular motion chunks retrieved but context check passed refusal gate
